,Category,Series,ModelName,Colour&Chassis,Description,Warrenty,MRP
25,Platinum,ROG-Strix G,G731GT-H7123T,BLACK W+LIGHTBAR,i7-9750H +GTX1650-4GB +16GB +512GB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,118990
26,Premium,TUF Gaming,FX505DV-AL136T,GUN METAL,R7-3750H +RTX2060-6GB +16GB +1TB PCIE SSD +15.6'+120Hz+Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-GUN METAL,1Y,136990
27,Platinum,ROG-Strix G,G731GT-H7147T,BLACK W+LIGHTBAR,i5-9300H +GTX1650-4GB +8GB +512GB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,101990
28,Platinum,ROG-Zephyrus S,GX701GXR-H6086T,BLACK METAL,"i7-9750H +RTX2080 with Max-Q Design-8GB +32GB +1TB PCIE SSD +17.3'+240Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB+NumberPad +WIN 10 +Accy in box: Bag, MOUSE(GLADIUS2), HEADSET, Web Cam +Color: 1A-BLACK M",1Y,396990
29,Platinum,ROG-Strix G,G731GT-H7158T,BLACK W+LIGHTBAR,i7-9750H +GTX1650-4GB +16GB +1TB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIFI5(802.11AC)2*2 +WIN 10 +Color: 1C-G BLACK W+LIGHTBAR,1Y,129990
30,Platinum,ROG-G,G703GI-E5148T,TITANIUM,17.3FHD IPS+G sync+144hz+I9-8950HK+64GB+2TB+3x 512GBPCIE gen3x4 SSD+GTX1080+8GBDDR5+1A-TITANIUM+n+a+WIN10+802.11ac+BT4.0+BAG MOUSE HEADSET+2Y,1Y,649990
31,Premium,TUF Gaming,FX504GM-E4112T,BLACK METAL,i5-8300H +GTX1060-6GB +8GB +1TB SSHD(FireCuda)+128GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard +WIN 10 +Color: 1C-BLACK METAL,1Y,106990
32,Premium,TUF Gaming,FX504GM-E4392T,BLACK METAL,i5-8300H +GTX1060-6GB +8GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+60Hz+Illuminated Chiclet Keyboard +WIN 10 +Color: 1C-BLACK METAL,1Y,90990
33,Platinum,ROG-Zephyrus,GX501GI-EI004T,BLACK METAL,i7-8750H +GTX1080-8GB +24GB +1TB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard RGB +WIN 10 +Color: 1A-BLACK METAL,2Y,389990
34,Platinum,ROG-Zephyrus S,GX701GXR-EV025T,BLACK METAL,"i7-9750H +RTX2080 with Max-Q Design-8GB +32GB +1TB PCIE SSD +17.3'+144Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB+NumberPad +WIN 10 +Accy in box: Bag, MOUSE(GLADIUS2), HEADSET, Web Cam +Color: 1A-BLACK M",1Y,389990
35,Platinum,ROG-Zephyrus S,GX531GW-ES009T,BLACK METAL,i7-8750H +RTX2070 with Max-Q Design-8GB +16GB +512GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB+NumberPad +WIN 10 +Color: 1A-BLACK METAL,1Y,311990
36,Platinum,ROG-Strix Scar II,GL504GW-ES007T,Gunmatel,i7-8750H +RTX2070-8GB +16GB +1TB SSHD(FireCuda)+512GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: 1A-Gunmatel,1Y,272990
37,Platinum,ROG-Strix G,G731GT-H7159T,GLACIER BLUE W+LIGHTBAR,i7-9750H +GTX1650-4GB +16GB +1TB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIN 10 +Color: 1F-G GLACIER BLUE W+LIGHTBAR,1Y,127990
38,Platinum,ROG-Strix Scar III,G531GW-AZ113T,SCAR Gunmetal,i9-9880H +RTX2070-8GB +32GB +1TB PCIE SSD +15.6'+240Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,324990
39,Platinum,ROG-Zephyrus M,GM501GS-EI004T,Black Metal,i7-8750H +GTX1070-8GB +16GB +1TB SSHD(FireCuda)+512GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: Black Metal,2Y,259990
40,Platinum,ROG-Strix G,G731GT-H7160T,GLACIER BLUE W+LIGHTBAR,i5-9300H +GTX1650-4GB +8GB +512GB PCIE SSD +17.3'+120Hz+16ms +RGB backlit Keyboard (1-Zone) +WIN 10 +Color: 1F-G GLACIER BLUE W+LIGHTBAR,1Y,101990
41,Platinum,ROG-Strix Scar II,GL504GS-ES113T,Gunmatel,i7-8750H +GTX1070-8GB +16GB +1TB SSHD(FireCuda)+512GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: 1A-Gunmatel,2Y,240990
42,Platinum,ROG-Strix Scar III,G531GW-AZ014T,SCAR Gunmetal,i7-9750H +RTX2070-8GB +16GB +1TB PCIE SSD +15.6'+240Hz+3ms +Illuminated Chiclet Keyboard Per-Key RGB+NumberPad +WIN 10 +Color: 1A-SCAR Gunmetal,1Y,259990
43,Platinum,ROG-Strix Scar II,GL504GV-ES019T,SCAR Gunmatel,i7-8750H +RTX2060-6GB +16GB +1TB SSHD(FireCuda)+256GB PCIE SSD +15.6'+144Hz+3ms +Illuminated Chiclet Keyboard 4-Zone RGB +WIN 10 +Color: 1A-SCAR Gunmatel,1Y,214990
